Wellenlänge,PL,Energie,PL,PL normiert
nm,w.E.,eV,w.E.,w.E.
,TDBC_NaOH_c2_1mmK_exc560_em-2,,TDBC_NaOH_c2_1mmK_exc560_em-2,TDBC_NaOH_c2_1mmK_exc560_em-2
570,1837.88,2.17543859649123,481554.203225806,0.0573384182880605
571,1732.44,2.17162872154116,455521.346806452,0.0542386990859294
572,1734.94,2.16783216783217,457777.910451613,0.0545073869912849
573,1821.34,2.16404886561955,482257.049080645,0.0574221057927003
574,1975.15,2.1602787456446,524810.097903226,0.0624888760471742
575,2199.37,2.15652173913043,586424.763104839,0.0698253034365376
576,2513.83,2.15277777777778,672603.598451613,0.0800865742874415
577,2930.16,2.14904679376083,786721.966645161,0.0936745913496959
578,3493.33,2.14532871972318,941181.983645161,0.112066068371804
579,4255.43,2.14162348877375,1150479.52308871,0.136987021782419
580,5318.16,2.13793103448276,1442765.34193548,0.17178934814244
581,6777.32,2.1342512908778,1844966.86816129,0.219679282842102
582,8805.78,2.13058419243986,2405426.63283871,0.286412946893692
583,11569.1,2.12692967409949,3171136.95959677,0.377585692784052
584,15238.1,2.12328767123288,4191165.67225806,0.499040001770697
585,19612.2,2.11965811965812,5412729.95564516,0.644491050432317
586,24167.6,2.1160409556314,6692788.04,0.796906926738841
587,28045.9,2.11243611584327,7793344.93314516,0.92794968592617
588,30120.8,2.10884353741497,8398456.35096774,1
589,29721.3,2.10526315789474,8315276.7075,0.990095841427079
590,26819.8,2.10169491525424,7529009.98387097,0.896475455635774
591,22245.3,2.09813874788494,6266016.63653226,0.746091469036478
592,17076.5,2.09459459459459,4826369.75483871,0.574673434396379
593,12579.6,2.09106239460371,3567422.38741935,0.424771200603821
594,9232.4,2.08754208754209,2627034.74709677,0.312799714294409
595,6965.78,2.08403361344538,1988758.27782258,0.236800454120765
596,5448.05,2.08053691275168,1560673.00709677,0.18582855490068
597,4427.39,2.07705192629816,1272549.71170161,0.151521858127533
598,3715.17,2.07357859531773,1071419.07474194,0.127573333713698
599,3167.52,2.07011686143573,916539.79316129,0.109131935067529
600,2730.79,2.06666666666667,792810,0.0943994904383406
601,2370.48,2.06322795341098,690499.795548387,0.0822174655308915
602,2063.46,2.05980066445183,603069.482129032,0.0718071818113982
603,1821.5,2.05638474295191,534124.027016129,0.063597880931367
604,1598.5,2.05298013245033,470289.012903226,0.0559970777069092
605,1389.09,2.0495867768595,410033.602620968,0.0488224961214117
606,1239.6,2.04620462046205,367117.536774194,0.0437125016113099
607,1157.59,2.04283360790774,343961.998314516,0.0409553832204988
608,1124.34,2.03947368421053,335183.888516129,0.0399101780742727
609,1140.35,2.03612479474548,341075.92608871,0.0406117400430864
610,1151.56,2.0327868852459,345560.867741935,0.041145759804076
611,1140.41,2.02945990180033,343337.904524194,0.0408810726848192
612,1108.47,2.02614379084967,334815.151354839,0.0398662727247798
613,1071.3,2.02283849918434,324646.233629032,0.0386554647737883
614,1030.57,2.01954397394137,313323.199774194,0.0373072367921624
615,994.696,2.01626016260163,303402.334354839,0.0361259643053188
616,963.878,2.01298701298701,294959.105135484,0.0351206332222583
617,937.843,2.0097244732577,287924.607925,0.0342830391553828
618,911.262,2.00647249190939,280671.635554839,0.0334194313604425
619,895.425,2.0032310177706,276687.047116935,0.0329449884067152
620,878.62,2,272372.2,0.0324312217171451
621,860.656,1.99677938808374,267664.710077419,0.0318707032449572
622,839.99,1.9935691318328,262079.589645161,0.0312056857466387
623,830.911,1.99036918138042,260081.173805645,0.0309677353714741
624,818.171,1.98717948717949,256916.251045161,0.0305908896002725
625,803.134,1.984,253003.402217742,0.0301249886461086
626,786.477,1.98083067092652,248549.565203226,0.0295946724989034
627,769.791,1.97767145135566,244054.166160484,0.0290594075817709
628,752.049,1.97452229299363,239190.397432258,0.028480281070306
629,731.137,1.97138314785374,233280.462755645,0.0277765881022606
630,701.043,1.96825396825397,224390.295725807,0.0267180403574938
631,669.519,1.96513470681458,214980.931095968,0.025597672014
632,642.754,1.9620253164557,207041.4304,0.024652319634446
633,611.871,1.95892575039494,197717.725095968,0.0235421507040618
634,590.321,1.95583596214511,191357.312803226,0.0227848195914212
635,565.181,1.95275590551181,183786.378004032,0.0218833521689798
636,546.699,1.9496855345912,178336.740890323,0.0212344666016837
637,530.514,1.94662480376766,173601.72198871,0.020670670267722
638,511.948,1.9435736677116,168052.711058065,0.0200099523097123
639,492.732,1.94053208137715,162252.276590323,0.0193192974768067
640,480.412,1.9375,158690.931612903,0.018895249910374
641,469.359,1.93447737909516,155524.754257258,0.0185182547551536
642,462.624,1.93146417445483,153771.740593548,0.0183095242944055
643,438.614,1.92846034214619,146245.580391935,0.0174133881609189
644,418.977,1.92546583850932,140132.939574194,0.0166855590739656
645,397.247,1.92248062015504,133277.970302419,0.0158693413090207
646,383.263,1.91950464396285,128985.308151613,0.0153582161722791
647,364.885,1.91653786707883,123180.762068548,0.0146670717713922
648,352.244,1.91358024691358,119281.181109677,0.0142027506157049
649,341.965,1.91063174114022,116158.064487903,0.0138308826805439
650,329.417,1.90769230769231,112240.872983871,0.0133644646460462
651,323.682,1.9047619047619,110626.41555,0.0131722320063321
652,314.232,1.90184049079755,107726.838812903,0.0128269808535101
653,305.641,1.8989280245023,105103.28481371,0.0125145955901288
654,298.932,1.8960244648318,103111.289767742,0.0122774097356427
655,290.111,1.89312977099237,100374.896592742,0.0119515887679973
656,285.18,1.89024390243902,98970.3390967742,0.0117843488089773
657,277.324,1.88736681887367,96537.6026419355,0.011494684095228
658,271.897,1.88449848024316,94936.7844419355,0.0113040754722737
659,272.659,1.88163884673748,95492.4380475807,0.0113702368693715
660,274.541,1.87878787878788,96443.5964516129,0.0114834908251324
661,275.986,1.87594553706505,97245.2250854839,0.011578940345898
662,271.011,1.87311178247734,95781.4070032258,0.0114046442584879
663,268.241,1.87028657616893,95089.0549427419,0.011322206244697
664,263.045,1.86746987951807,93528.6196129033,0.0111364059899086
665,259.775,1.86466165413534,92644.3543346774,0.011031116965203
666,258.564,1.86186186186186,92490.0109548387,0.0110127393761094
667,261.76,1.85907046476762,93914.6327741936,0.0111823683840867
668,265.393,1.8562874251497,95503.811316129,0.011371591078773
669,264.427,1.85351270553064,95441.300441129,0.0113641479401309
670,260.984,1.85074626865672,94480.4174193548,0.011249736078996
671,262.325,1.84798807749627,95249.5728427419,0.01134131903082
672,264.293,1.8452380952381,96250.3952516129,0.0114604864548141
673,263.063,1.84249628528975,96087.7915540323,0.0114411253138156
674,258.353,1.83976261127596,94648.0382483871,0.0112696946073288
675,255.162,1.83703703703704,93756.6018145161,0.0111635517167048
676,248.043,1.83431952662722,91411.0467483871,0.0108842676473343
677,245.306,1.83161004431315,90670.0432854839,0.0107960367353741
678,245.845,1.82890855457227,91137.9136935484,0.0108517458310118
679,244.563,1.82621502209131,90930.2984540323,0.0108270251882127
680,243.255,1.82352941176471,90710.5741935484,0.0108008627303392
681,242.52,1.8208516886931,90702.6755806452,0.0107999222464487
682,240.256,1.81818181818182,90120.0256,0.010730546404473
683,240.082,1.81551976573939,90319.0420145161,0.0107542431894772
684,238.925,1.81286549707602,90147.1732258064,0.0107337788587088
685,238.273,1.81021897810219,90164.2326008065,0.0107358101099635
686,236.366,1.80758017492711,89703.946883871,0.0106810041197076
687,236.879,1.80494905385735,90160.9231862903,0.0107354160596312
688,237.215,1.80232558139535,90551.8523870967,0.0107819638041773
689,235.113,1.79970972423803,90010.5471556452,0.0107175108608231
690,229.005,1.79710144927536,87926.8391129032,0.0104694047856511
691,227.808,1.794500723589,87720.9610064516,0.0104448909824177
692,223.951,1.79190751445087,86485.5416645161,0.0102977902188597
693,223.034,1.78932178932179,86380.5286016129,0.0102852863659474
694,222.452,1.78674351585014,86403.9447354839,0.0102880745133036
695,220.939,1.7841726618705,86063.7584475807,0.0102475687020346
696,215.021,1.7816091954023,83999.6876903226,0.0100018008286301
697,215.97,1.77905308464849,84613.0401048387,0.0100748323940612
698,215.869,1.77650429799427,84816.3228032258,0.0100990371633535
699,216.298,1.77396280400572,85228.5637887097,0.0101481224914492
700,213.461,1.77142857142857,84351.5241935484,0.0100436938252145
701,215.608,1.76890156918688,85443.5377483871,0.0101737193333798
702,211.319,1.76638176638177,83982.9423193548,0.00999980696567859
703,209.384,1.76386913229018,83451.1752064516,0.00993648972133262
704,211.801,1.76136363636364,84654.8100129032,0.010079805916137
705,208.518,1.75886524822695,83579.5636693548,0.00995177687143949
706,209.291,1.75637393767705,84127.5555451613,0.0100170259901949
707,209.316,1.75388967468175,84376.123616129,0.0100466228661659
708,210.151,1.75141242937853,84952.5248903226,0.0101152546777877
709,212.973,1.74894217207334,86336.6779137097,0.0102800650864562
710,211.851,1.74647887323944,86124.2654032258,0.0102547732350007
711,213.884,1.74402250351617,87195.8496483871,0.0103823662354737
712,215.989,1.74157303370787,88301.8771096774,0.0105140603724758
713,219.38,1.73913043478261,89940.3155,0.0107091484126885
714,224.444,1.73669467787115,92274.7205032258,0.0109871048496422
715,222.891,1.73426573426573,91893.1060282258,0.0109416662048422
716,228.496,1.73184357541899,94467.6172387097,0.0112482119678844
717,232.381,1.72942817294282,96342.3515395161,0.0114714356440532
718,231.532,1.72701949860724,96258.308683871,0.0114614287032377
719,238.39,1.72461752433936,99385.75225,0.0118338118455004
720,238.956,1.72222222222222,99899.024516129,0.011894926917685
721,239.637,1.71983356449376,100462.20783629,0.0119619848741268
722,242.266,1.71745152354571,101846.281890323,0.0121267858799536
723,243.863,1.71507607192254,102801.824295968,0.0122405618365954
724,246.778,1.71270718232044,104318.633006452,0.0124211674916226
725,250.642,1.71034482758621,106244.920362903,0.0126505295643599
726,252.222,1.70798898071625,107209.808767742,0.0127654183444543
727,253.77,1.70563961485557,108165.164782258,0.0128791721075974
728,257.69,1.7032967032967,110138.368516129,0.0131141204899443
729,257.45,1.70096021947874,110338.294717742,0.0131379256028434
730,259.461,1.6986301369863,111505.457177419,0.013276899053547
731,264.339,1.69630642954856,113913.268047581,0.013563595890387
732,264.061,1.69398907103825,114105.017148387,0.0135864273599801
733,265.597,1.69167803547067,115082.537526613,0.013702820222832
734,269.649,1.68937329700272,117157.271487097,0.013949857758515
735,266.998,1.68707482993197,116321.769798387,0.0138503749900401
736,271.248,1.68478260869565,118495.126296774,0.0141091554620178
737,276.188,1.68249660786974,120981.257880645,0.014405177907093
738,275.789,1.68021680216802,121134.535577419,0.0144234286058367
739,281.147,1.67794316644114,123822.80708629,0.0147435197507483
740,280.982,1.67567567567568,124085.276774194,0.0147747718852995
741,284.044,1.67341430499325,125776.744809677,0.0149761741388564
742,288.73,1.6711590296496,128197.051387097,0.015264358833314
743,298.282,1.66890982503365,132795.38695,0.0158118803504525
744,302.396,1.66666666666667,134989.5744,0.016073141153427
745,301.51,1.66442953020134,134956.119153226,0.0160691576539152
746,303.033,1.66219839142091,136002.187925806,0.0161937125398211
747,310.55,1.65997322623829,139749.753991935,0.0166399333582096
748,322.471,1.65775401069519,145503.076116129,0.0173249785479165
749,336.432,1.65554072096128,152208.619703226,0.0181234042712727
750,338.42,1.65333333333333,153517.137096774,0.0182792087833004
751,350.178,1.65113182423435,159274.792079032,0.0189647698842513
752,367.872,1.64893617021277,167768.618941935,0.0199761256034395
753,379.379,1.64674634794157,173476.860815323,0.0206558031102148
754,406.35,1.64456233421751,186303.61016129,0.0221830777437836
755,427.066,1.64238410596026,196321.206975806,0.0233758679895008
756,457.614,1.64021164021164,210921.673470968,0.0251143382374862
757,477.07,1.63804491413474,220471.360024194,0.0262514146422621
758,514.482,1.63588390501319,238389.383748387,0.0283849047713295
759,542.544,1.63372859025033,252055.879083871,0.0300121675401489
760,578.068,1.63157894736842,269267.803870968,0.032061582821698
761,625.836,1.62943495400788,292286.104964516,0.034802360427918
762,652.839,1.62729658792651,305699.232512903,0.0363994548209658
763,710.165,1.62516382699869,333416.167649193,0.0396996964341875
764,755.385,1.62303664921466,355576.776580645,0.0423383490633577
765,801.7,1.62091503267974,378366.840725806,0.0450519506102104
766,834.51,1.61879895561358,394882.056096774,0.0470184090498098
767,879.399,1.61668839634941,417210.288960484,0.0496770205768122
768,909.032,1.61458333333333,432394.266425806,0.0514849691843647
769,965.192,1.61248374512354,460303.956703226,0.054808162055898
770,993.658,1.61038961038961,475112.764677419,0.0565714394196587
771,1039.54,1.6083009079118,498342.900919355,0.0593374401311178
772,1077.29,1.60621761658031,517780.325290323,0.0616518445357711
773,1117.46,1.60413971539457,538479.642209677,0.0641165018554427
774,1160.72,1.60206718346253,560773.786064516,0.0667710544211972
775,1209.14,1.6,585677.1875,0.0697362899829221
776,1255.22,1.5979381443299,609567.224774193,0.072580864780461
777,1290.36,1.5958815958816,628248.187451613,0.0748051976693575
778,1339.44,1.59383033419023,653823.871741936,0.0778504816145882
779,1403.21,1.59178433889602,686713.999685484,0.0817666927097091
780,1421.91,1.58974358974359,697653.261290323,0.0830692251213443
781,1482.03,1.58770806658131,729016.53292742,0.0868036341992081
782,1531.58,1.58567774936061,755320.909612903,0.0899356831837161
783,1587.78,1.58365261813538,785040.687435484,0.0934744022745353
784,1609.33,1.58163265306122,797729.30683871,0.0949852298448617
785,1660.33,1.5796178343949,825110.366330645,0.0982454789129873
786,1713.59,1.57760814249364,853749.231967742,0.101655494330141
787,1754.12,1.57560355781449,876167.379258064,0.10432481192298
788,1830.71,1.57360406091371,916748.701806451,0.109156809715492
789,1886.32,1.57160963244613,946995.010258064,0.11275822254514
790,1934.44,1.56962025316456,973616.132258065,0.115927986235932
791,2000.71,1.56763590391909,1009521.15605645,0.120203179473586
792,2083.72,1.56565656565657,1054066.56619355,0.125507179193959
793,2166.78,1.56368221941992,1098852.77114516,0.130839850232542
794,2230,1.56171284634761,1133767.96774194,0.134997185240034
795,2309.31,1.55974842767296,1177049.71995968,0.14015072184355
796,2369.08,1.55778894472362,1210554.02683871,0.144140062917541
797,2449.05,1.55583437892095,1254563.38826613,0.14938023558598
798,2538.5,1.55388471177945,1303650.76935484,0.155225045517397
799,2596.53,1.55193992490613,1336796.24881452,0.159171661189914
800,2714.5,1.55,1401032.25806452,0.16682021070492
,,--,--,--
##### Extended Information,,--,--,--
[Comments],,--,--,--
Sample name,TDBC_NaOH_c2_1mmK_exc560_em-2,--,--,--
Comment,,--,--,--
User,,--,--,--
Division,,--,--,--
Company,Microsoft,--,--,--
,,--,--,--
[Detailed Information],,--,--,--
Creation date,21.03.2014 19:15,--,--,--
,,--,--,--
Data array type,Linear data array,--,--,--
Horizontal axis,Wavelength [nm],--,--,--
Vertical axis,Int.,--,--,--
Start,570 nm,--,--,--
End,800 nm,--,--,--
Data interval,1 nm,--,--,--
Data points,231,--,--,--
,,--,--,--
[Measurement Information],,--,--,--
Model name,FP-8600,--,--,--
Serial No.,C003561454,--,--,--
Ex filter holder,None,--,--,--
Em filter holder,None,--,--,--
,,--,--,--
Accessory,SCE-846,--,--,--
Accessory S/N,C002561454,--,--,--
,,--,--,--
Accessory,FDP-837,--,--,--
Accessory S/N,,--,--,--
Polarizer,"Ex 0 degree, Em 0 degree",--,--,--
,,--,--,--
Measurement date,21.03.2014 19:15,--,--,--
,,--,--,--
Mode,Emission,--,--,--
Ex bandwidth,5 nm,--,--,--
Em bandwidth,5 nm,--,--,--
Response,0.5 sec,--,--,--
Sensitivity,Medium,--,--,--
Measurement range,570 - 800 nm,--,--,--
Data interval,1 nm,--,--,--
Ex wavelength,560.0 nm,--,--,--
Scan speed,100 nm/min,--,--,--
Auto gain,Off,--,--,--
Shutter control,Open only for measurement,--,--,--
Light source,Xe lamp,--,--,--
Filter,Stop scan for exchanging filter,--,--,--
Blank correction,Off,--,--,--
Spectral correction,On,--,--,--
Ex correction data,Ex-PL-Wlamp-P0deg_5nm,--,--,--
Em correction data,Em_Hal-lamp_P0deg_5nm,--,--,--
